,hour,minute,time_of_day,approved,denied,failed,processing,refunded,reversed,total,time_bin
2023-01-01 09:40:00,9,44,584,0.8874098724348308,0.09373266777592901,0.0,0.0,0.004437049362174155,0.010537992235163616,1803.0,3
2023-01-01 09:45:00,9,49,589,0.8939632545931758,0.09186351706036745,0.0,0.0,0.0031496062992125984,0.008923884514435695,1905.0,3
2023-01-01 09:50:00,9,54,594,0.9005319148936171,0.08882978723404256,0.0,0.0,0.0010638297872340426,0.006914893617021276,1880.0,3
2023-01-01 09:55:00,9,59,599,0.8751941998964268,0.108234075608493,0.0,0.0,0.0015535991714137752,0.010357327809425169,1931.0,3
2023-01-01 10:00:00,10,4,604,0.8992481203007519,0.08671679197994987,0.0,0.0,0.0015037593984962407,0.009523809523809525,1995.0,3
2023-01-01 10:05:00,10,9,609,0.9048361934477379,0.07904316172646905,0.0,0.0,0.0015600624024961,0.010400416016640665,1923.0,3
2023-01-01 10:10:00,10,14,614,0.8842849924204144,0.10207175341081354,0.0,0.0,0.00202122283981809,0.008590197069226882,1979.0,3
2023-01-01 10:15:00,10,19,619,0.9016649323621228,0.0931321540062435,0.0,0.0,0.0,0.005202913631633715,1922.0,3
2023-01-01 10:20:00,10,24,624,0.9010165864098448,0.09149277688603531,0.0,0.0,0.0016051364365971107,0.004280363830925628,1869.0,3
2023-01-01 10:25:00,10,29,629,0.8963445167751627,0.09364046069103656,0.0,0.0,0.0,0.007511266900350526,1997.0,3
2023-01-01 10:40:00,10,44,644,0.9035769828926905,0.08553654743390357,0.0,0.0,0.0010368066355624676,0.00829445308449974,1929.0,3
2023-01-01 10:45:00,10,49,649,0.8898951382268827,0.09818875119161107,0.0,0.0,0.0019065776930409914,0.00667302192564347,2098.0,3
2023-01-01 10:50:00,10,54,654,0.898812351543943,0.09026128266033254,0.0,0.0,0.0,0.00665083135391924,2105.0,3
2023-01-01 10:55:00,10,59,659,0.8905325443786982,0.09615384615384616,0.0,0.0,0.0009861932938856016,0.008875739644970414,2028.0,3
