,hour,minute,time_of_day,approved,denied,failed,processing,refunded,reversed,total,time_bin
2023-01-01 16:25:00,16,29,989,0.503822629969419,0.10091743119266056,0.0,0.046636085626911315,0.009174311926605505,0.31422018348623854,1308.0,5
2023-01-01 16:30:00,16,34,994,0.5936204146730463,0.10303030303030303,0.0009569377990430622,0.005103668261562998,0.00861244019138756,0.27687400318979266,3135.0,5
2023-01-01 16:35:00,16,39,999,0.7536231884057971,0.11365369946605644,0.0,0.006864988558352402,0.007882023900330536,0.1065344520722095,3933.0,5
2023-01-01 16:45:00,16,49,1009,0.8427073403241182,0.10152526215443279,0.0,0.00667302192564347,0.0038131553860819827,0.04003813155386082,2098.0,5
2023-01-01 16:50:00,16,54,1014,0.5494736842105263,0.10105263157894737,0.0,0.022105263157894735,0.007368421052631579,0.30736842105263157,950.0,5
2023-01-01 16:55:00,16,59,1019,0.6536601096420509,0.09738793937439535,0.0,0.004514672686230248,0.00709448564979039,0.22992583037729764,3101.0,5
2023-01-01 17:00:00,17,4,1024,0.7023809523809523,0.10476190476190476,0.0,0.03015873015873016,0.0031746031746031746,0.12857142857142856,1260.0,5
2023-01-01 17:05:00,17,9,1029,0.4869281045751634,0.06535947712418301,0.0,0.049019607843137254,0.006535947712418301,0.30392156862745096,306.0,5
2023-01-01 17:10:00,17,14,1034,0.5964266946925907,0.08512874408828167,0.0,0.005780346820809248,0.013137151865475564,0.28691539674198635,1903.0,5
2023-01-01 17:15:00,17,19,1039,0.5089041095890411,0.12945205479452054,0.0,0.015068493150684932,0.015068493150684932,0.29315068493150687,1460.0,5
2023-01-01 17:20:00,17,24,1044,0.565,0.14125,0.0,0.02125,0.00375,0.2175,800.0,5
2023-01-01 17:25:00,17,29,1049,0.6101010101010101,0.08282828282828283,0.0,0.03838383838383838,0.026262626262626262,0.2080808080808081,495.0,5
2023-01-01 17:35:00,17,39,1059,0.43661971830985913,0.06338028169014084,0.0,0.11267605633802817,0.0,0.3028169014084507,142.0,5
2023-01-01 17:40:00,17,44,1064,0.5133079847908745,0.06844106463878327,0.0,0.057034220532319393,0.0038022813688212928,0.28517110266159695,263.0,5
2023-01-01 17:50:00,17,54,1074,0.27586206896551724,0.06896551724137931,0.0,0.19540229885057472,0.034482758620689655,0.3103448275862069,87.0,5
2023-01-01 17:55:00,17,59,1079,0.5991189427312775,0.07488986784140969,0.0,0.05726872246696035,0.0,0.24669603524229075,227.0,5
2023-01-01 18:00:00,18,4,1084,0.6209964412811388,0.09608540925266904,0.0,0.01601423487544484,0.014234875444839857,0.22597864768683273,562.0,5
2023-01-01 18:05:00,18,9,1089,0.45932203389830506,0.08813559322033898,0.0,0.0288135593220339,0.013559322033898305,0.3389830508474576,590.0,5
2023-01-01 18:10:00,18,14,1094,0.6096904441453567,0.09286675639300135,0.0,0.02557200538358008,0.006729475100942127,0.2489905787348587,743.0,5
